pivot,derivation,similarity,category,affix
mata,matka,0.68260646,N:N,-ka
dziewczyna,dziewczynka,0.8318726,N:N,-ka
długi,długość,0.76752716,ADJ:N,-ość
miły,miłość,0.77651405,ADJ:N,-ość
wysoki,wysokość,0.77612925,ADJ:N,-ość
cebula,cebulka,0.9087074,N:N,-ka
herbata,herbatka,0.7735635,N:N,-ka
nauczyciel,nauczycielka,0.89621043,N:N,-ka
kwiat,kwiatek,0.8402821,N:N,-ek
woda,wódka,0.77892584,N:N,-ka
wola,wolny,0.780788,N:ADJ,-ny
Polska,polski,0.7731352,N:ADJ,-ski
rysa,ryska,0.8783908,N:N,-ka
marchew,marchewka,0.7111083,N:N,-ka
para,parka,0.6997976,N:N,-ka
wymóc,wymagać,0.6617633,V:V,-ać
Google,googlować,0.5876297,N:V,-ować
ewentualny,ewentualnie,0.7022365,ADJ:ADV,-ie
oczywisty,oczywiście,0.714254,ADJ:ADV,-ie
wierzba,Wierzbowski,0.59312737,N:N,-ski
baba,babka,0.7522411,ADJ:N,-ka
mulcz,mulczować,0.80038965,N:V,-ować
ucho,uszny,0.6009797,N:ADJ,-ny
Polak,Polka,0.73410743,N:N,-ka
mulczować,mulczowanie,0.92871946,V:N,-anie
kot,kotka,0.7923328,N:N,-ka
aktor,aktorka,0.9097186,N:N,-ka
kowal,Kowalski,0.5852435,N:N,-ski
orać,orka,0.8056308,V:N,-ka
róża,różowy,0.82103705,N:ADJ,-owy
brąz,brązowy,0.87256694,N:ADJ,-owy
niebo,niebieski,0.71849823,N:ADJ,-ski
rozebrać,rozbierać,0.708395,V:V,-ać
sen,snowy,0.62395597,N:ADJ,-owy
tarń,tarka,0.82258177,N:N,-ka
córa,córka,0.75376105,N:N,-ka
kula,kulka,0.78849953,N:N,-ka
częsty,często,0.7220128,ADJ:ADV,-o
śniadać,śniadanie,0.720489,V:N,-anie
ogon,ogonek,0.7121103,N:N,-ek
widzieć,widzenie,0.88009405,V:N,-enie
nazwać,nazywać,0.96287584,V:V,-ać
ołów,ołówek,0.8516464,N:N,-ek
przyjemny,przyjemność,0.9062898,ADJ:N,-ość
wygodny,wygodnie,0.93952715,ADJ:ADV,-ie
zwiedzić,zwiedzać,0.75225806,V:V,-ać
wybrać,wybierać,0.95681405,V:V,-ać
skrzyżować,skrzyżowanie,0.70485365,V:N,-anie
zostawić,zostawiać,0.927834,V:V,-ać
kita,kitka,0.9155458,N:N,-ka
społeczny,społeczeństwo,0.82543784,ADJ:N,-stwo
suchy,sucho,0.85790825,ADJ:ADV,-o
mina,minka,0.90180343,N:N,-ka
zad,zadek,0.76146543,N:N,-ek
pacnąć,packa,0.8212059,V:N,-ka
misa,miska,0.9293379,N:N,-ka
pszczoła,pszczółka,0.8454063,N:N,-ka
pomarańcza,pomarańczowy,0.7121753,N:ADJ,-owy
kulturysta,kulturystka,0.89912456,N:N,-ka
skok,skoczek,0.7088802,N:N,-ek
Portugalia,Portugalka,0.80238986,N:N,-ka
Jan,Janik,0.71218646,N:N,-ik
dziad,dziadek,0.8988907,N:N,-ek
Lach,laski,0.7217872,N:ADJ,-ski
Ryga,ryski,0.627578,N:ADJ,-ski
tresa,treska,0.84469146,N:N,-ka
reporter,reporterka,0.79405594,N:N,-ka
Bruksela,brukselka,0.6352516,N:N,-ka
fiolet,fioletowy,0.94464123,N:ADJ,-owy
purpura,purpurowy,0.8951785,N:ADJ,-owy
beż,beżowy,0.7224445,N:ADJ,-owy
turkus,turkusowy,0.79248565,N:ADJ,-owy
granat,granatowy,0.8157799,N:ADJ,-owy
błękit,błękitny,0.88707834,N:ADJ,-ny
przecinać,przecinek,0.5846189,V:N,-ek
indyk,indyczka,0.9166032,N:N,-ka
kot,kotek,0.8081314,N:N,-ek
kierownik,kierowniczka,0.7669723,N:N,-ka
godny,godność,0.87641,ADJ:N,-ość
lekarz,lekarstwo,0.8254401,N:N,-stwo
pion,pionek,0.78240657,N:N,-ek
dostrzec,dostrzegać,0.71250314,V:V,-ać
stary,starość,0.6406424,ADJ:N,-ość
dorosły,dorosłość,0.7409471,N:N,-ość
pełnoletni,pełnoletniość,0.88733965,ADJ:N,-ość
Czech,Czeszka,0.6151221,N:N,-ka
koń,konik,0.76469946,N:N,-ik
beton,betonowy,0.7295648,N:ADJ,-owy
napowietrzyć,napowietrzać,0.9457087,V:V,-ać
stryj,stryjek,0.8425321,N:N,-ek
zimny,zimno,0.8866927,ADJ:ADV,-o
przeziębić,przeziębienie,0.82434785,V:N,-enie
puch,puszka,0.58924836,N:N,-ka
ametyst,ametystowy,0.7889705,N:ADJ,-owy
studia,studiować,0.85666895,N:V,-ować
jedność,jednostka,0.8371441,N:N,-ka
rudy,rudo,0.7267366,ADJ:ADV,-o
szczep,szczepowy,0.8053919,N:ADJ,-owy
prowadzić,zaprowadzić,0.8516858,V:V,za-
doprowadzić,doprowadzać,0.6970262,V:V,-ać
przeprowadzić,przeprowadzać,0.9573,V:V,-ać
przód,przodować,0.6907095,N:V,-ować
administrator,administratorka,0.77130044,N:N,-ka
kość,kostka,0.728114,N:N,-ka
Litwa,litewski,0.7925854,N:ADJ,-ski
mały,mało,0.78138626,ADJ:N,-o
bezczelny,bezczelność,0.8937561,ADJ:N,-ość
zuchwały,zuchwalstwo,0.8122597,ADJ:N,-stwo
podać,podatek,0.7509185,V:N,-ek
otworzyć,otwierać,0.94082236,V:V,-ać
zabić,zabijać,0.92128134,V:V,-ać
czynny,czynność,0.71866095,ADJ:N,-ość
przyszły,przyszłość,0.72482616,ADJ:N,-ość
ile,ilość,0.7919775,N:N,-ość
Bułgaria,bułgarski,0.85293895,N:ADJ,-ski
zainteresować,zainteresowanie,0.8639248,V:N,-anie
ciemny,ciemność,0.7758938,ADJ:N,-ość
młot,młotek,0.925437,N:N,-ek
Ameryka,amerykański,0.71332884,N:ADJ,-ski
obecny,obecnie,0.7669298,ADJ:ADV,-ie
zamknąć,zamykać,0.93917733,V:V,-ać
zegar,zegarek,0.9261703,N:N,-ek
wart,wartość,0.74527043,ADJ:N,-ość
głupi,głupek,0.85647285,ADJ:N,-ek
samobójca,samobójstwo,0.75968766,N:N,-stwo
alkohol,alkoholowy,0.78155935,N:ADJ,-owy
chciwy,chciwość,0.8189419,ADJ:N,-ość
zapomnieć,zapominać,0.9381931,V:V,-ać
wiadomy,wiadomość,0.6872948,ADJ:N,-ość
konew,konewka,0.8393294,N:N,-ka
kolano,kolanowy,0.78533155,N:ADJ,-owy
kolor,kolorowy,0.8326319,N:ADJ,-owy
bordo,bordowy,0.71186906,N:ADJ,-owy
potomek,potomstwo,0.7931524,N:N,-stwo
tłumaczyć,tłumaczenie,0.65728563,V:N,-enie
planeta,planetka,0.81261444,N:N,-ka
tokarz,tokarka,0.8325654,N:N,-ka
więzić,więzienie,0.5778089,V:N,-enie
król,królestwo,0.8387448,N:N,-stwo
zdać,zdanie,0.63475287,V:N,-anie
butla,butelka,0.7313086,N:N,-ka
bieda,biedny,0.864691,N:ADJ,-ny
pytać,pytanie,0.6803507,V:N,-anie
komora,komórka,0.87328464,N:N,-ka
bliski,blisko,0.83840287,ADJ:ADV,-o
pić,picie,0.94692314,V:N,-ie
przestrzec,przestrzegać,0.5977829,V:V,-ać
duży,dużo,0.828447,ADJ:ADV,-o
brud,brudny,0.9102804,N:ADJ,-ny
szwagier,szwagierka,0.7869984,N:N,-ka
noc,nocny,0.7685995,N:ADJ,-ny
skory,skoro,0.77468383,ADJ:ADV,-o
badać,badanie,0.89135087,V:N,-anie
waga,ważny,0.74720913,N:ADJ,-ny
spółka,społeczny,0.69447154,N:ADJ,-ny
kawa,kawka,0.73669153,N:N,-ka
kopciuch,kopciuszek,0.90474564,N:N,-ek
cały,cało,0.8423093,ADJ:ADV,-o
znaczyć,znaczenie,0.73209476,V:N,-enie
mąż,męski,0.7657646,N:ADJ,-ski
położyć,położenie,0.687359,V:N,-enie
panew,panewka,0.86892104,N:N,-ka
uwaga,uważny,0.5771662,N:ADJ,-ny
druk,drukować,0.7876278,N:V,-ować
większy,większość,0.7403383,ADJ:N,-ość
tyrać,tyranie,0.6049252,V:N,-anie
kuchnia,kuchenka,0.91452205,N:N,-ka
łaźnia,łazienka,0.6902707,N:N,-ka
jeść,jedzenie,0.9122869,V:N,-enie
kwadrat,kwadratowy,0.8788769,N:ADJ,-owy
pleść,plotka,0.65636826,V:N,-ka
guz,guzik,0.80434495,N:N,-ik
kłąb,kłębek,0.7427848,N:N,-ek
codzienny,codziennie,0.70530754,ADJ:ADV,-ie
strzała,strzałka,0.91484624,N:N,-ka
kanapa,kanapka,0.68718266,N:N,-ka
sprawiedliwy,sprawiedliwość,0.84624285,ADJ:N,-ość
otyły,otyłość,0.841555,ADJ:N,-ość
model,modelka,0.8326618,N:N,-ka
sznur,sznurek,0.7227968,N:N,-ek
waliza,walizka,0.9424673,N:N,-ka
student,studentka,0.90711534,N:N,-ka
zapalić,zapalenie,0.88482815,V:N,-enie
młody,młodość,0.76754403,ADJ:N,-ość
waga,ważka,0.70148593,N:N,-ka
ława,ławka,0.8834321,N:N,-ka
jaszczur,jaszczurka,0.7321445,N:N,-ka
nowy,nowość,0.84423786,ADJ:N,-ość
poświęcić,poświęcenie,0.9165316,V:N,-enie
wielki,wielkość,0.76202,ADJ:N,-ość
szczery,szczerość,0.8954915,ADJ:N,-ość
kapłan,kapłaństwo,0.7055917,N:N,-stwo
kłamać,kłamstwo,0.8883076,V:N,-stwo
wojsko,wojskowy,0.8803318,N:ADJ,-owy
przeszły,przeszłość,0.80717695,ADJ:N,-ość
pała,pałka,0.668347,N:N,-ka
nuda,nudny,0.7173882,N:ADJ,-ny
akuszer,akuszerka,0.8136256,N:N,-ka
dół,dolny,0.7239312,N:ADJ,-ny
góra,górny,0.79646033,N:ADJ,-ny
Estonia,estoński,0.71995777,N:ADJ,-ski
Węgry,węgierski,0.8418401,N:ADJ,-ski
Łotwa,łotewski,0.7555306,N:ADJ,-ski
Kanton,kantoński,0.698534,N:ADJ,-ski
szyba,szybka,0.68527514,N:N,-ka
